"ID";"WijkenEnBuurten";"AantalInwoners_5"
"6748";"GM0917    ";"86832"
"6749";"WK091710  ";"3910"
"6750";"BU09171000";"3440"
"6751";"BU09171001";"470"
"6752";"WK091711  ";"3425"
"6753";"BU09171100";"1865"
"6754";"BU09171101";"1560"
"6755";"WK091712  ";"6980"
"6756";"BU09171200";"3565"
"6757";"BU09171201";"3410"
"6758";"WK091713  ";"4215"
"6759";"BU09171300";"1715"
"6760";"BU09171301";"2500"
"6761";"WK091714  ";"365"
"6762";"BU09171400";"365"
"6763";"WK091720  ";"5645"
"6764";"BU09172000";"385"
"6765";"BU09172001";"1680"
"6766";"BU09172002";"1400"
"6767";"BU09172003";"690"
"6768";"BU09172004";"1495"
"6769";"WK091721  ";"5455"
"6770";"BU09172100";"2075"
"6771";"BU09172101";"3380"
"6772";"WK091722  ";"3060"
"6773";"BU09172200";"2385"
"6774";"BU09172201";"675"
"6775";"WK091723  ";"55"
"6776";"BU09172300";"50"
"6777";"WK091724  ";"5025"
"6778";"BU09172400";"3140"
"6779";"BU09172401";"1625"
"6780";"BU09172402";"260"
"6781";"WK091730  ";"3670"
"6782";"BU09173000";"1315"
"6783";"BU09173001";"2350"
"6784";"BU09173002";"5"
"6785";"WK091731  ";"4960"
"6786";"BU09173100";"975"
"6787";"BU09173101";"1320"
"6788";"BU09173102";"1605"
"6789";"BU09173103";"1060"
"6790";"WK091732  ";"6440"
"6791";"BU09173200";"655"
"6792";"BU09173201";"350"
"6793";"BU09173202";"2930"
"6794";"BU09173203";"2510"
"6795";"WK091733  ";"5100"
"6796";"BU09173300";"2520"
"6797";"BU09173301";"1065"
"6798";"BU09173302";"740"
"6799";"BU09173303";"775"
"6800";"WK091734  ";"2590"
"6801";"BU09173400";"2590"
"6802";"WK091735  ";"145"
"6803";"BU09173500";"145"
"6804";"WK091736  ";"4015"
"6805";"BU09173600";"15"
"6806";"BU09173601";"3615"
"6807";"BU09173602";"190"
"6808";"BU09173603";"195"
"6809";"WK091737  ";"2755"
"6810";"BU09173700";"1550"
"6811";"BU09173701";"1205"
"6812";"WK091738  ";"5135"
"6813";"BU09173800";"1390"
"6814";"BU09173801";"3740"
"6815";"WK091739  ";"4360"
"6816";"BU09173900";"1260"
"6817";"BU09173901";"1290"
"6818";"BU09173902";"1650"
"6819";"BU09173903";"160"
"6820";"WK091740  ";"3905"
"6821";"BU09174000";"3905"
"6822";"WK091741  ";"5555"
"6823";"BU09174100";"2065"
"6824";"BU09174101";"1795"
"6825";"BU09174102";"1415"
"6826";"BU09174103";"275"
"6827";"WK091742  ";"75"
"6828";"BU09174200";"75"
