ID,Opleidingsniveau,Marges,WijkenEnBuurten,RegiocodeGemeenteWijkBuurt_1,Bevolking15Tot75Jaar_2
23862,2018700,MW00000,GM0917    ,GM0917    ,24640
23863,2018700,MW00000,WK091710  ,WK091710  ,1340
23864,2018700,MW00000,BU09171000,BU09171000,1160
23865,2018700,MW00000,BU09171001,BU09171001,180
23866,2018700,MW00000,WK091711  ,WK091711  ,1060
23867,2018700,MW00000,BU09171100,BU09171100,520
23868,2018700,MW00000,BU09171101,BU09171101,550
23869,2018700,MW00000,WK091712  ,WK091712  ,2200
23870,2018700,MW00000,BU09171200,BU09171200,1110
23871,2018700,MW00000,BU09171201,BU09171201,1090
23872,2018700,MW00000,WK091713  ,WK091713  ,1370
23873,2018700,MW00000,BU09171300,BU09171300,470
23874,2018700,MW00000,BU09171301,BU09171301,900
23875,2018700,MW00000,WK091714  ,WK091714  ,90
23876,2018700,MW00000,BU09171400,BU09171400,90
23877,2018700,MW00000,WK091720  ,WK091720  ,2230
23878,2018700,MW00000,BU09172000,BU09172000,170
23879,2018700,MW00000,BU09172001,BU09172001,630
23880,2018700,MW00000,BU09172002,BU09172002,660
23881,2018700,MW00000,BU09172003,BU09172003,320
23882,2018700,MW00000,BU09172004,BU09172004,430
23883,2018700,MW00000,WK091721  ,WK091721  ,1940
23884,2018700,MW00000,BU09172100,BU09172100,730
23885,2018700,MW00000,BU09172101,BU09172101,1210
23886,2018700,MW00000,WK091722  ,WK091722  ,930
23887,2018700,MW00000,BU09172200,BU09172200,710
23888,2018700,MW00000,BU09172201,BU09172201,220
23889,2018700,MW00000,WK091723  ,WK091723  ,10
23890,2018700,MW00000,BU09172300,BU09172300,10
23891,2018700,MW00000,WK091724  ,WK091724  ,1630
23892,2018700,MW00000,BU09172400,BU09172400,1100
23893,2018700,MW00000,BU09172401,BU09172401,470
23894,2018700,MW00000,BU09172402,BU09172402,60
23895,2018700,MW00000,WK091730  ,WK091730  ,1160
23896,2018700,MW00000,BU09173000,BU09173000,
23897,2018700,MW00000,BU09173001,BU09173001,910
23898,2018700,MW00000,BU09173002,BU09173002,
23899,2018700,MW00000,WK091731  ,WK091731  ,1600
23900,2018700,MW00000,BU09173100,BU09173100,310
23901,2018700,MW00000,BU09173101,BU09173101,340
23902,2018700,MW00000,BU09173102,BU09173102,570
23903,2018700,MW00000,BU09173103,BU09173103,380
23904,2018700,MW00000,WK091732  ,WK091732  ,2220
